,semantic,contextual
0,rajatsurana979/fast-food-sales-report,shahriarkabir/amazon-100-bestselling-books-with-reviews-in-2024
1,saadharoon27/hotel-booking-dataset,rupakroy/credit-data
2,raj713335/tbo-hotels-dataset,patricklford/amazon-alibaba-and-ebay-2013-2023
3,ashishjangra27/swiggy-restaurants-dataset,saurabhbadole/housing-price-data
4,/restaurant-data-with-consumer-ratings,michau96/restaurant-business-rankings-2020
5,saurabhbadole/restaurant-tips-dataset,shrutimehta/zomato-restaurants-data
6,anthonytherrien/restaurant-revenue-prediction-dataset,jsphyg/tipping
7,abhijitdahatonde/zomato-restaurants-dataset,anthonytherrien/restaurant-revenue-prediction-dataset
8,mohdshahnawazaadil/restaurant-dataset,sudipmanchare/simulated-sales-data-with-timeseries-features
9,rabieelkharoua/predict-restaurant-customer-satisfaction-dataset,dimagigayanika/multi-brand-food-sales-prodution-data
