,semantic,contextual
0,hamzaboulahia/hardfakevsrealfaces,abhi8923shriv/liver-disease-patient-dataset
1,atulanandjha/lfwpeople,winson13/heart-disease-dataset
2,aiolapo/fgnet-dataset,khushiipatni/satellite-image-and-mask
3,abhikjha/appa-real-face-cropped,akash14/news-category-dataset
4,jessicali9530/celeba-dataset,aaryapatel98/indian-diabetic-retinopathy-image-dataset
5,nipunarora8/age-gender-and-ethnicity-face-data-csv,devdgohil/the-oxfordiiit-pet-dataset
6,jangedoo/utkface-new,divyeshardeshana/supply-chain-shipment-pricing-data
7,arashnic/faces-age-detection-dataset,shaunthesheep/microsoft-catsvsdogs-dataset
8,trainingdatapro/age-detection-human-faces-18-60-years,aakashjoshi123/exercise-and-fitness-metrics-dataset
9,abhikjha/utk-face-cropped,arashnic/faces-age-detection-dataset
